,单词,词频,单词释义
1306,slope,1,"n.斜坡,斜面,倾斜;v.(使)顺斜"
1307,snack,8,"n.小吃,快餐,一份;v.吃快餐(小吃)"
1308,social,76,"adj.社会的,爱交际的,社交的,群居的"
1309,sociology,1,n.社会学
1310,software,22,n.软件
1311,solar,13,"adj.太阳的,日光的"
1312,sole,1,"adj.单独的,唯一的;n.脚底,鞋底,基础;v.换鞋底"
1313,solution,14,"n.解答,解决办法,溶解,溶液,解决方案"
1314,solve,12,"vt.解决,解答"
1315,somehow,3,adv.不知何故
1316,sophisticated,6,"adj.诡辩的,久经世故的"
1317,sore,1,"adj.疼痛的,痛心的,剧烈的;n.痛的地方,痛处"
1318,sorrow,1,"n.悲哀,悲痛"
1319,source,21,"n.来源,水源,消息来源,原始资料,发起者,源,源极"
1320,spacious,1,"adj.广大的,大规模的"
1321,span,5,"n.跨度,跨距,范围;v.横越"
1322,specialist,1,"n.专门医师,专家"
1323,species,14,"n.种类,(原)核素;n.[律]式样;n.[宗]圣餐物"
1324,specifically,3,"adv.特定的,明确的"
1325,specify,5,"vt.指定,详细说明,列入清单"
1326,specimen,2,"n.范例,标本,样品,样本,待试验物"
1327,spectrum,1,"n.光,光谱,型谱,频谱"
1328,spelling,9,"n.拼法,拼写法"
1329,spiritual,8,adj.精神上的
1330,spite,4,"n.(in～of)不顾,不管,敌意;v.困扰"
1331,splendid,2,"adj.壮丽的,辉煌的,极好的"
1332,spoil,1,"vt.损坏,搞糟,宠坏,溺爱;v.扰乱"
1333,sponsor,5,"n.发起人,主办者,保证人,主办人;vt.发起,主办;v.赞助"
1334,spot,11,"n.班点,污点,地点,场所,现场;v.沾污,弄脏,侦察;vt.认出,发现"
1335,spouse,6,n.配偶(指夫或妻)
1336,spray,2,"n.喷雾,飞沫;vt.喷射,喷溅"
1337,spur,1,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激;v.鞭策,刺激,疾驰,驱策"
1338,stability,16,n.稳定性
1339,stabilize,1,v.稳定
1340,stack,2,"n.堆,一堆,堆栈;v.堆叠"
1341,staff,30,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱;vt.供给人员,充当职员"
1342,stake,2,n.树桩
1343,standpoint,1,"n.立场,观点"
1344,stare,1,"v.(～at)凝视,盯着看"
1345,starve,1,vt.使饿死;vi.饿得要死
1346,statistic,1,"n.统计量;adj.统计的,统计学的"
1347,status,12,"n.身份,地位,情形,状况"
1348,steady,5,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的;v.(使)稳定,(使)稳固"
1349,steep,2,"adj.陡峭的,险峻的,急剧升降的,不合理的;n.悬崖,峭壁,浸渍,浸渍液;v.浸,泡,沉浸"
1350,steer,1,"v.驾驶,掌舵"
1351,stereotype,9,"n.[印]铅版,陈腔滥调,老套;vt.使用铅版,套用老套,使一成不变"
1352,sticky,1,"adj.粘的,粘性的"
1353,stimulate,7,"vt.刺激,激励;v.刺激,激励"
1354,stir,2,"n.轰动,搅动,监牢;vt.动,移动,摇动,激起,搅和,惹起;vi.走动,传播,流行"
1355,stocking,1,n.长袜
1356,storage,5,"n.贮藏(量),贮藏库,存储"
1357,stove,2,n.炉
1358,strain,3,"n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力"
1359,strand,2,"n.绳、线之一股,线,绳,串,海滨,河岸;vi.搁浅;vt.使搁浅,使落后,使陷于困境,弄断,搓"
1360,strategy,7,"n.策略,军略"
1361,stream,1,"n.溪,川,流,一股,一串,河流;v.流,涌,流注"
1362,strengthen,8,"v.加强,巩固"
1363,stretch,6,"v.伸展,伸长;n.一段时间,一段路程,伸展"
1364,striking,2,"adj.打击的,显著的,惊人的,罢工的"
1365,strip,1,"vt.剥,剥去;n.条,带"
1366,strive,1,"v.努力,奋斗,力争,斗争"
1367,structure,12,"n.结构,构造,建筑物;vt.建筑,构成,组织"
1368,studio,9,"n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场"
1369,stuff,6,"n.原料,材料,素材资料;vt.塞满,填满,填充"
1370,subject,19,"n.题目,主题,科目,学科,国民,[语法]主语;adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的;vt.使屈从于...,使隶属"
1371,submarine,1,"n.潜水艇,潜艇;adj.水下的,海底的"
1372,submit,8,"v.(使)服从,(使)顺从;vt.提交,递交"
1373,subsequent,4,"adj.后来的,并发的"
1374,substance,2,"n.物质,实质,主旨"
1375,substitute,1,"n.代用品,代替者,替代品;v.代替,替换,替代"
1376,succession,1,"n.连续,继承,继任,演替,[农业]轮栽,连续性"
1377,suffer,12,"vt.遭受,经历,忍受;vi.受痛苦,受损害"
1378,sufficient,13,"adj.充分的,足够的"
1379,suggestion,7,"n.提议,意见,暗示,微量"
1380,suicide,2,"n.自杀,自毁,给自己带来伤害或损失的行为"
1381,sum,3,"n.总数,和,金额,算术题"
1382,sunlight,1,"n.日光,阳光,日照"
1383,sunrise,1,n.日出
1384,sunshine,1,n.阳光
1385,superb,1,"adj.庄重的,堂堂的,华丽的,极好的"
1386,superior,9,"n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的"
1387,supervise,1,"v.监督,管理,指导"
1388,supply,17,"n.补给,供给,供应品;vt.补给,供给,提供,补充,代理;vi.替代他人职务"
1389,suppose,8,"vt.推想,假设,猜想;vi.料想;conj.假使...结果会怎样"
1390,surge,3,"n.巨涌,汹涌,澎湃;vi.汹涌,澎湃,振荡,滑脱,放松;vt.使汹涌奔腾,急放"
1391,surgery,3,"n.外科,外科学,手术室,诊疗室"
1392,surpass,1,"vt.超越,胜过"
1393,surplus,1,"n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉"
1394,surrounding,2,"n.围绕物,环境;adj.周围的"
1395,survival,9,"n.生存,幸存,残存,幸存者,残存物"
1396,susceptible,1,"adj.易受影响的,易感动的,容许...的;n.(因缺乏免疫力而)易得病的人"
1397,suspension,1,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
1398,suspicion,1,"n.猜疑,怀疑"
1399,sustain,7,"vt.支撑,撑住,维持,持续"
1400,swallow,3,"n.[鸟]燕子,吞咽,喉;vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽;vi.吞下,咽下"
1401,sway,1,"v.摇摆,摇动"
1402,swift,3,"n.[鸟]雨燕,(梳棉机等的)大滚筒;adj.迅速的,快的,敏捷的,立刻的;adv.迅速地,敏捷地"
1403,switch,11,"n.开关,电闸,转换;vt.转换,转变"
1404,sword,5,n.剑
1405,symbol,4,"n.符号,记号,象征"
1406,sympathetic,3,"adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人"
1407,sympathy,4,"n.同情,同情心"
1408,symptom,1,"n.[医][植]症状,征兆"
1409,system,61,"n.系统,体系,制度,体制,秩序,规律,方法"
1410,tackle,2,"n.工具,复滑车,滑车,辘轱,用具,装备,扭倒;vt.固定,应付(难事等),处理,解决,抓住;vi.捉住,扭住,扭倒"
1411,talent,10,"n.天才,才干,才能"
1412,tame,1,"adj.(动物)驯服的,柔顺的,(人)没精打彩的,顺从的,被开垦的,沉闷的,乏味的,平淡的;vt.驯养,驯服,制服,使变得平淡;vi.变得驯服"
1413,target,8,"n.目标,对象,靶子"
1414,tax,14,"n.税,税款,税金;vt.对...征税,使负重担,指控,责备"
1415,technician,2,"n.技术员,技师"
1416,technology,93,"n.工艺,科技,技术"
1417,tedious,9,"adj.单调乏味的,沉闷的,冗长乏味的"
1418,teenager,2,n.十几岁的青少年
1419,temper,3,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向;v.(冶金)回火、锻炼,调和,调节"
1420,temple,1,"n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角"
1421,temporary,5,"adj.暂时的,临时的,临时性"
1422,temptation,8,"n.诱惑,诱惑物"
1423,tend,44,"vi.趋向,往往是;vt.照管,护理"
1424,tendency,4,"n.趋向,倾向"
1425,tender,2,"adj.嫩的,温柔的,软弱的"
1426,tension,4,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压;vt.拉紧,使紧张"
1427,terminal,3,"n.终点站,终端,接线端;adj.末期,每期的,每学期的"
1428,terrific,4,adj.令人恐怖的
1429,terrify,1,"vt.使恐怖,恐吓"
1430,terror,1,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
1431,theft,5,"n.偷,行窃,偷窃的事例,偷窃行为"
1432,theory,12,"n.理论,学说,...论,原理,意见,推测"
1433,therapy,3,n.治疗
1434,thereby,2,"adv.因此,从而,在那方面,在那附近"
1435,thesis,2,"n.论题,论文"
1436,thinking,37,n.思想
1437,thirsty,2,"adj.口渴的,渴望的,热望的"
1438,thorough,1,"adj.十分的,彻底的"
1439,threat,9,"n.恐吓,凶兆,威胁"
1440,threaten,1,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
1441,thrill,2,v.发抖
1442,thrive,1,"v.兴旺,繁荣,茁壮成长,旺盛"
1443,thrust,1,"n.插,戳,刺,推力,猛推,口头攻击;vt.力推,冲,插入,挤进,刺,戳,强加,延伸;vi.插入,刺,戳,延伸,强行推进"
1444,tide,1,"n.潮,潮汐,潮流,趋势"
1445,timely,3,"adj.及时的,适时的"
1446,tissue,7,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
1447,token,1,"n.表示,向征,记号,代币;adj.象征的,表意的"
1448,toll,1,"n.通行税(费),费,代价,钟声;vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱;vi.征税,鸣钟"
1449,topic,11,"n.话题,主题"
1450,tough,12,"n.恶棍;adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的;adv.<口>强硬地,顽强地;vt.<美口>忍受,耐,坚持"
1451,tour,8,"n.旅行,游历,旅游;v.旅行,游历,巡回,漫游"
1452,trace,2,"n.痕迹,踪迹,微量,迹线,缰绳;vt.描绘,映描,画轮廓,追踪,回溯,探索;vi.上溯,沿路走"
1453,tractor,1,n.拖拉机
1454,tradition,14,"n.传统,惯例"
1455,tragedy,1,"n.悲剧,惨案,悲惨,灾难"
1456,tragic,1,"adj.悲惨的,悲剧的;n.(文艺作品或生活中的)悲剧因素,悲剧风格"
1457,trait,1,"n.显著的特点,特性"
1458,transfer,6,"n.迁移,移动,传递,转移,调任,转帐,过户,转让;vt.转移,调转,调任,传递,转让,改变;vi.转移,转学,换车"
1459,transform,4,"vt.转换,改变,改造,使...变形;vi.改变,转化,变换;n.[数]变换(式),[语]转换"
1460,transit,3,"n.经过,通行,搬运,运输,运输线,转变;vt.横越,通过,经过;vi.通过;n.[天]中天,经纬仪"
1461,translation,11,"n.翻译,译文,转化,调任,转换[物][数]平移"
1462,transplant,1,"v.移植,移种,移民,迁移;n.移植,被移植物,移居者"
1463,transportation,7,"n.运输,运送"
1464,trap,1,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车;vi.设圈套,设陷阱;vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
1465,tray,1,"n.盘,碟,盘子"
1466,treaty,1,"n.条约,谈判"
1467,tremendous,5,"adj.极大的,巨大的"
1468,trend,37,"n.倾向,趋势;vi.伸向,倾向,通向"
1469,trial,2,"n.试验,考验,审讯,审判"
1470,trigger,1,"vt.引发,引起,触发;n.板机"
1471,troublesome,3,"adj.麻烦的,讨厌的,棘手的"
1472,tuition,12,n.学费
1473,tune,1,"n.曲调,调子,和谐,合调;vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
1474,tutor,6,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师;v.辅导"
1475,typical,11,"adj.典型的,象征性的"
1476,typist,1,n.打字员
1477,ultimate,6,"adj.最后的,最终的,根本的;n.最终"
1478,undergraduate,6,"n.大学肄业生,(尚未取得学位的)大学生;adj.大学生的"
1479,underground,3,"adj.地下的,地面下的,秘密的;n.[英]地铁;adv.在地下,秘密地"
1480,undermine,1,v.破坏
1481,understanding,19,"n.谅解,理解"
1482,undertake,1,"vt.承担,担任,许诺,保证;v.采取"
1483,undoubtedly,3,"adv.无庸置疑地,的确地"
1484,uneasy,3,"adj.心神不安的,不自在的,不稳定的,不舒服的;adv.心神不安地,不自在地,不稳定地"
1485,unexpected,6,"adj.想不到的,意外的,未预料到"
1486,unfold,1,"vt.打开,显露,开展,阐明;vi.伸展,开花,呈现;vt.放(羊)出栏"
1487,union,2,"n.联合,合并,结合,联盟,协会"
1488,universal,5,"adj.普遍的,全体的,通用的,宇宙的,世界的"
1489,universe,1,"n.宇宙,世界,万物,领域"
1490,unlike,1,"adj.不同的,不相似的;prep.不象...,和...不同"
1491,unusual,12,"adj.不平常的,与众不同的,不寻常的"
1492,update,2,"v.使现代化,修正,校正,更新;n.现代化,更新"
1493,upper,4,"adj.上面的,上部的,较高地位的"
1494,upset,4,"vt.颠覆,推翻,扰乱,使不适,使心烦;vi.翻倒,倾覆;n.翻倒,混乱"
1495,urban,12,"adj.城市的,市内的"
1496,urge,2,"vt.催促,力劝;n.强烈欲望,迫切要求;v.促进"
1497,usage,5,"n.使用,用法"
1498,utility,3,"n.效用,有用"
1499,utilize,2,vt.利用
1500,utmost,1,"n.极限,最大可能,极力;adj.极度的,最远的"
1501,utter,1,"adj.全然的,绝对的;vt.发出,做声,发表,发射,流通"
1502,vacation,6,"n.假期,休假,(房屋等的)腾出;v.<美>度假,休假"
1503,vague,3,"adj.含糊的,不清楚的,茫然的,暧昧的"
1504,vain,1,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
1505,variation,2,"n.变更,变化,变异,变种,[音]变奏,变调"
1506,various,30,"adj.不同的,各种各样的,多方面的,多样的"
1507,vary,11,"vt.改变,变更,使多样化;vi.变化,不同,违反"
1508,vast,10,"adj.巨大的,辽阔的,大量的,巨额的"
1509,vehicle,3,"n.交通工具,车辆,媒介物,传达手段"
1510,venture,8,"n.冒险,投机,风险;v.冒险,冒昧,斗胆,胆敢(谦语)"
1511,verbal,1,adj.口头的
1512,version,5,"n.译文,译本,翻译"
1513,versus,1,"prep.对(指诉讼,比赛等中),与...相对"
1514,vessel,1,"n.船,容器,器皿,脉管,导管"
1515,via,5,"prep.经,通过,经由"
1516,vice,12,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷;vt.钳住;prep.代替"
1517,victim,1,"n.受害人,牺牲者,牺牲品"
1518,vigorous,3,"adj.精力旺盛的,有力的,健壮的"
1519,violate,1,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
1520,violent,9,"adj.猛烈的,激烈的,暴力引起的,强暴的"
1521,violin,2,"n.小提琴,小提琴手"
1522,virtual,1,"adj.虚的,实质的,[物]有效的,事实上的"
1523,virus,3,"n.[微]病毒,滤过性微生物,毒害,恶毒(vires[5vaiEri:z]n.活力)"
1524,visible,6,"adj.看得见的,明显的,显著的;n.可见物"
1525,visual,4,"adj.看的,视觉的,形象的,栩栩如生的"
1526,vital,10,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
1527,vivid,2,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
1528,vocational,1,adj.职业的
1529,volume,3,"n.卷,册,体积,量,大量,音量"
1530,voluntary,1,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
1531,vote,1,"n.投票,选票,表决,得票数;vi.投票;vt.投票,投票决定,公认,<口>建议,使投票"
1532,vulnerable,4,"adj.易受攻击的,易受...的攻击"
1533,waist,1,"n.腰部,腰,衣服的上身部分,背心"
1534,wallet,10,"n.皮夹,钱夹,钓鱼带"
1535,ward,4,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔;vt.守护,保卫,防止,挡住,躲开,避免"
1536,warmth,6,"n.暖和,温暖,热心,热情"
1537,weaken,1,"v.削弱,(使)变弱"
1538,wealthy,16,"adj.富有的,丰裕的,充分的;n.富人,有钱人"
1539,weapon,1,n.武器
1540,web,6,"n.网,蛛丝,蹼,翼手,织物,圈套,卷筒纸;vi.使陷入罗网,形成网;vt.织蜘蛛网于,使落入圈套;环球网"
1541,weekly,6,"adj.每星期的,一周的;adv.每周一次;n.周刊,周报"
1542,weep,2,"n.哭,哭泣,滴下;vi.哭泣,流泪,哀悼,滴落;vt.哭着使...,悲叹,滴下"
1543,weird,1,"adj.怪异的,超自然的,神秘的,不可思议的,超乎事理之外的;n.<古><苏格兰>命运,预言,符咒"
1544,welfare,4,"n.福利,安宁,幸福,福利事业,社会安全;adj.福利的"
1545,whereas,5,"conj.然而,反之,鉴于,尽管,但是"
1546,whoever,2,"pron.任何人,无论谁"
1547,wholly,1,"adv.整个,统统,全部,专门地"
1548,widen,1,"v.加宽,放宽,扩展"
1549,wisdom,9,"n.智慧,明智的行为,学识,名言,贤人,至理名言"
1550,withstand,3,"vt.抵挡,经受住"
1551,witness,2,"n.[律]证人,目击者,证据,证明,证词;vt.目击,为...作证,证明,表明;vi.作证,成为证据"
1552,workshop,4,"n.车间,工场"
1553,worthwhile,2,"adj.值得做的,值得出力的"
1554,wrap,1,"n.外套,围巾,包裹,秘密,约束,限制;vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏;vi.缠绕,重叠,穿外衣,包起来"
1555,writer,15,"n.作者,作家,复写器"
1556,yield,9,"v.出产,生长,生产;vi.(～to)屈服,屈从;n.产量,收益"
