,单词,后缀,单词释义
1437,reconcile,ile 表形容词， ...的,"vt.使和解,使和谐,使顺从"
1438,reconciliation,ion 表名词， 动作或状态 分为 sion和tion两种,"n.和解,调和,顺从"
1439,recorder,er 表动词， 反复做,"n.记录员,录音[像]机;n.[计]宏录制器,记录器"
1440,recover,er 表名词， 物品，机器,"vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件"
1441,recovery,y 表名词，加在形容词或以r结尾的单词后。,"n.恢复,痊愈,防御"
1442,recruit,it 表名词，通常是抽象名词,"n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原"
1443,rectangular,ar 表形容词， ...的,"adj.矩形的,成直角的"
1444,rectify,y 表名词，加在形容词或以r结尾的单词后。,"vt.矫正,调整,[化]精馏"
1445,reduction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.减少,缩影,变形,缩减量,约简"
1446,redundant,ant 表形容词， ...的,adj.多余的
1447,reel,el 表名词， 人或物,"n.(棉纱,电线的)卷轴,(磁带等的)一盘,旋转,蹒跚;vt.卷...于轴上,使旋转;vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
1448,referee,ee 表名词， 被动或主动的人,"n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判"
1449,refine,ine 表形容词， ...的,"vt.精炼,精制,使文雅高尚"
1450,reflection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.反射,映象,倒影,反省,沉思,反映"
1451,reflexion,ion 表示 某种物，用品,"n.<主英>（=reflection）反射,反射光"
1452,refrain,ain 表名词， ...人,"n.重复,叠句,[乐]副歌;vi.节制,避免,制止"
1453,refreshment,ment 表名词， 行为或结果,"n.点心,饮料,精力恢复,爽快"
1454,refrigerator,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.电冰箱,冷藏库"
1455,refugee,ee 表名词， 被动或主动的人,"n.难民,流亡者"
1456,refusal,al 表名词， 人，物，状态,"n.拒绝,推却,优先取舍权,优先取舍的机会"
1457,regarding,ing 表形容词， 正...的 ， 令人...的,prep.关于
1458,regardless,ess 表名词， 女性，雌性,"adj.不管,不顾,不注意"
1459,region,ion 表名词， 动作或状态 分为 sion和tion两种,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
1460,register,er 表动词， 反复做,"n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号"
1461,regulation,ation 表名词， 行为，过程，结果,"n.规则,规章,调节,校准"
1462,rehearsal,al 表名词， 人，物，状态,"n.排演,演习,预演,试演"
1463,rejoice,ice 表名词， 行为，状态,"v.(使)欣喜,(使)高兴,喜悦"
1464,relate,ate 表动词， 做，造成,"vt.叙述,讲,使联系,发生关系"
1465,relative,ative 表形容词， 有...倾向(性质)的,"n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的"
1466,relativity,ivity 表名词，由ive+ity 组成， 有...能力或特性,"n.相对性,相关性,[物]相对论"
1467,relay,y 表名词，加在形容词或以r结尾的单词后。,"n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播"
1468,relevant,ant 表形容词， ...的,"adj.有关的,相应的"
1469,reliance,ance 表名词， 性质，状况,"n.信任,信心,依靠,依靠的人或物"
1470,religion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.宗教,信仰"
1471,religious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士"
1472,reluctant,ant 表形容词， ...的,"adj.不顾的,勉强的,难得到的,难处理的"
1473,rely,ly 表形容词，通常加在名词后。,"v.依赖,依靠,信赖,信任,依赖于"
1474,remainder,er 表动词， 反复做,"n.残余,剩余物,其他的人,[数]余数;v.廉价出售;adj.剩余的,出售剩书的"
1475,remarkable,able 表形容词， 可...的，能...,"adj.不平常的,非凡的,值得注意的,显著的"
1476,remedy,y 表名词，加在形容词或以r结尾的单词后。,"n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补"
1477,remnant,ant 表形容词， ...的,"n.残余,剩余,零料,残迹;adj.剩余的,残留的"
1478,removal,al 表名词， 人，物，状态,"n.移动,免职,切除"
1479,render,er 表动词， 反复做,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底"
1480,rent,ent 表形容词， ...的,"v.租,租借,出租;n.租金"
1481,repay,y 表名词，加在形容词或以r结尾的单词后。,"v.偿还,报答,报复"
1482,repeatedly,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"adv.重复地,再三地"
1483,repetition,ition 表名词， 行为过程，状态,"n.重复,循环,复制品,副本"
1484,replacement,ment 表名词， 行为或结果,"n.归还,复位,交换,代替者,补充兵员,置换,移位"
1485,reporter,er 表动词， 反复做,"n.记者,通讯员"
1486,representative,ative 表形容词， 有...倾向(性质)的,"n.代表;adj.典型的,有代表性的"
1487,repression,ion 表名词， 动作或状态 分为 sion和tion两种,"n.镇压,抑制,抑压"
1488,republican,an 表名词和形容词， ...地方，...人,"adj.共和国的,共和政体的,共和主义的,有关共和的;n.共和党人"
1489,requirement,ment 表名词， 行为或结果,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
1490,resemblance,ance 表名词， 性质，状况,n.类同之处
1491,resent,ent 表形容词， ...的,"v.愤恨,怨恨"
1492,reservation,on 表名词，指人、物和一些物理学上的名词,"n.保留,(旅馆房间等)预定,预约"
1493,reservior,ior 表形容词， 较...的,"n.贮水池,贮藏处,贮备"
1494,residence,ence 表名词， 性质，状态,"n.居住,住处"
1495,resident,ent 表形容词， ...的,"n.居民;adj.居住的,常驻的"
1496,residential,al 表名词， 人，物，状态,"adj.住宅的,与居住有关的"
1497,resist,ist 表名词， 表示信仰者，专家或从事人,"vt.抵抗,反抗,抗,忍得住"
1498,resistant,ant 表形容词， ...的,"adj.抵抗的,有抵抗力的"
1499,resolution,on 表名词，指人、物和一些物理学上的名词,"n.坚定,决心,决定,决议"
1500,respective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.分别的,各自的"
1501,respectively,ly 表形容词，通常加在名词后。,"adv.分别地,各个地"
1502,responsibility,ibility 表名词， 具备...性质的,"n.责任,职责"
1503,responsible,ible 形容词 能...的,"adj.有责任的,可靠的,可依赖的,负责的"
1504,restless,less 表形容词， 无...的，不...的,"adj.得不到休息的,不平静的,不安宁的"
1505,restrain,ain 表名词， ...人,"vt.抑制,制止"
1506,resultant,ant 表形容词， ...的,"adj.作为结果而发生的,合成的"
1507,retain,ain 表名词， ...人,"vt.保持,保留"
1508,retention,on 表名词，指人、物和一些物理学上的名词,保持力
1509,reunion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.团圆,重聚"
1510,reveal,al 表名词， 人，物，状态,"vt.展现,显示,揭示,暴露"
1511,revelation,on 表名词，指人、物和一些物理学上的名词,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
1512,revise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"vt.修订,校订,修正,修改"
1513,revive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
1514,revolutionary,ary 表名词， 人，场所，物,adj.革命的
1515,reward,ward 表形容词+副词， 向...,"n.报酬,奖金;vt.酬劳,奖赏"
1516,ribbon,on 表名词，指人、物和一些物理学上的名词,"n.缎带,丝带,带,带状物,带子"
1517,rid,id 表形容词， 如...的,"vt.使摆脱,使去掉"
1518,ridiculous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.荒谬的,可笑的"
1519,rigid,id 表形容词， 如...的,"adj.刚硬的,刚性的,严格的"
1520,riot,ot 表名词， ...人,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动;v.骚乱,放纵,挥霍,参加骚动"
1521,ritual,al 表名词， 人，物，状态,"n.典礼,(宗教)仪式,礼节;adj.典礼的,(宗教)仪式的"
1522,rival,al 表形容词， ...的,"n.竞争者,对手;v.竞争,对抗,相匹敌"
1523,rivalry,y 表名词，加在形容词或以r结尾的单词后。,"n.竞争,竞赛,敌对,敌对状态"
1524,roast,ast 表名词， ...人，物,"v.烤,烘,烘烤,暴露于某种热力下以得温暖"
1525,rocket,et 表示 小,n.火箭;v.飞速上升
1526,roller,er 表动词， 反复做,"n.滚筒,辊子"
1527,romantic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.传奇式的,浪漫的,空想的,夸大的"
1528,rot,ot 表名词， ...人,"v.(使)腐烂,(使)腐败;n.腐烂,腐败"
1529,rotary,ry 表示集合名词,adj.旋转的
1530,rotten,en 表动词， 变成,"adj.腐烂的,恶臭的,堕落的,(岩石等)风化的,虚弱的,无用的"
1531,routine,ine 表形容词， ...的,"n.例行公事,常规,日常事务,程序"
1532,royal,al 表名词， 人，物，状态,"adj.王室的,皇家的,第一流的,高贵的"
1533,royalty,ty 表名词，用在形容词后，把形容词变成名词,"n.皇室,王权"
1534,rupture,ture ture在s结尾的词根后变成sure,"v.破裂,裂开,断绝(关系等),割裂;n.破裂,决裂,敌对,割裂"
1535,rural,al 表名词， 人，物，状态,"adj.乡下的,田园的,乡村风味的,生活在农村的"
1536,sacrifice,ice 表名词， 行为，状态,"n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉"
1537,safeguard,ard 表名词， 不好的人,"vt.维护,保护,捍卫;n.安全装置,安全措施"
1538,sailor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.海员,水手,不大会晕船的人,船员"
1539,salad,ad 表名词， ...东西，状态,n.色拉
1540,salary,ry 表示集合名词,n.薪水;vt.给...加薪
1541,salvation,ation 表名词， 行为，过程，结果,"n.拯救,救助"
1542,sanction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.&v.批准,同意,支持,制裁,认可"
1543,satellite,ite 表形容词， 有...的,n.人造卫星
1544,satisfactory,ory 表名词，指场所等,"adj.满意的,赎罪的"
1545,saturate,ate 表动词， 做，造成,"v.使饱和,浸透,使充满"
1546,saucer,er 表动词， 反复做,"n.茶托,碟子,茶碟"
1547,savage,"age 名词后缀,表示 状态，总称","adj.野蛮的,未开化的,凶猛的,残忍的;vt.用暴力对付;n.原始的人,粗鲁的人"
1548,saving,ing 表形容词， 正...的 ， 令人...的,"n.存款,挽救,救助,节约;adj.搭救的,挽救的,节约的,节俭的,保留的,补偿的;prep.除...之外,考虑到"
1549,scan,an 表名词和形容词， ...地方，...人,"v.细看,审视,浏览,扫描;n.扫描"
1550,scandal,al 表形容词， ...的,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
1551,scarcely,ly 表形容词，通常加在名词后。,"adv.几乎不,简直没有"
1552,scatter,er 表动词， 反复做,"v.分散,散开,撒开,驱散"
1553,scenery,y 表名词，加在形容词或以r结尾的单词后。,"n.风景,景色"
1554,schedule,ule 表名词， 小...,"n.时间表,进度表;v.确定时间"
1555,scholar,ar 表形容词， ...的,n.学者
1556,scientific,fic 表形容词， 产生...的,adj.科学的
1557,screen,en 表动词， 变成,"n.屏,银幕,筛子,掩蔽物,屏风;vt.掩蔽,包庇,放映,拍摄,筛;vi.拍电影"
1558,scrutiny,y 表名词，加在形容词或以r结尾的单词后。,n.详细审查
1559,seal,al 表名词， 人，物，状态,"n.封铅,封条,印,图章,密封;vt.封,密封;n.海豹,海豹毛皮"
1560,secondary,ary 表名词， 人，场所，物,"adj.次要的,二级的,中级的,第二的"
1561,section,on 表名词，指人、物和一些物理学上的名词,"n.部分,断片,部件,节,项,区,地域,截面"
1562,sector,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.部分,部门,[计]扇区,地区,象限,扇形;v.使分成部分,把...分成扇形"
1563,security,ity 表名词，指具备某种性质,n.安全
1564,seemingly,ly 表形容词，通常加在名词后。,adv.表面上地
1565,segregate,ate 表形容词， 具有...的,v.隔离
1566,selection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.选择,挑选,选集,精选品"
1567,selfish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,adj.自私的
1568,semester,er 表动词， 反复做,n.学期
1569,seminar,ar 表形容词， ...的,"n.研究会,讨论发表会"
1570,senator,ator 表名词，通常由ate结尾的动词而来， 做事的人或物,"n.参议员,(大学的)评议员,(古罗马的)元老院议员"
1571,senior,ior 表形容词， 较...的,"adj.年长的,资格较老的,地位较高的,高级的"
1572,sensation,on 表名词，指人、物和一些物理学上的名词,"n.感觉,感情,感动,耸人听闻的"
1573,sensitive,itive 表形容词， ...的,"adj.敏感的,灵敏的,感光的"
1574,sentiment,ment 表名词， 行为或结果,"n.情操,情感,情绪,观点,多愁善感,感情"
1575,sergeant,ant 表形容词， ...的,"n.警官,军士"
1576,serial,al 表名词， 人，物，状态,adj.连续的
1577,session,ion 表名词， 动作或状态 分为 sion和tion两种,"n.会议,开庭"
1578,setting,ing 表形容词， 正...的 ， 令人...的,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
1579,settlement,ment 表名词， 行为或结果,"n.沉降,解决,结算,殖民,殖民地"
1580,sexual,al 表名词， 人，物，状态,"adj.性的,性别的,[生]有性的"
1581,shabby,y 表名词，加在形容词或以r结尾的单词后。,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
1582,shatter,er 表动词， 反复做,"n.粉碎,碎片,落花(叶,粒等);vt.打碎,使散开,粉碎,破坏;vi.粉碎,损坏,落叶"
1583,sheer,eer 表名词， ... 人员,"adj.全然的,纯粹的,绝对的,彻底的,透明的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航"
1584,shelter,er 表动词， 反复做,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体;v.掩蔽,躲避"
1585,shipment,ment 表名词， 行为或结果,"n.装船,出货"
1586,shiver,er 表动词， 反复做,"v.颤抖,打碎,碎裂;n.(无法控制的)颤抖,碎片"
1587,shortcoming,ing 表形容词， 正...的 ， 令人...的,"n.缺点,短处"
1588,shortly,ly 表形容词，通常加在名词后。,"adv.立刻,不久,简略地,简言之,即刻"
1589,shutter,er 表动词， 反复做,n.耸肩;v.耸肩
1590,sightseeing,ing 表形容词， 正...的 ， 令人...的,n.观光
1591,signal,al 表名词， 人，物，状态,"n.信号;adj.信号的;v.发信号,用信号通知"
1592,significance,ance 表名词， 性质，状况,"n.意义,重要性"
1593,significant,ant 表形容词， ...的,"adj.有意义的,重大的,重要的"
1594,signify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.表示,意味;vi.要紧,有重要性;v.颇为重要,表示"
1595,similar,ar 表形容词， ...的,"adj.相似的,类似的"
1596,similarly,ly 表形容词，通常加在名词后。,"adv.同样地,类似于"
1597,simplicity,y 表名词，加在形容词或以r结尾的单词后。,"n.简单,简易,朴素,直率"
1598,simplify,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"vt.单一化,简单化"
1599,simultaneous,aneous 表形容词， ...有; ...特征的,"adj.同时的,同时发生的"
1600,singular,"ular 表形容词, 有...形状或性质的","n.单数;adj.单一的,非凡的,异常的,持异议的"
1601,site,ite 表形容词， 有...的,"n.地点,场所,遗址;vt.定...的地点;n.站点"
1602,skeleton,on 表名词，指人、物和一些物理学上的名词,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
1603,skeptical,al 表形容词， ...的,"adj.怀疑性的,好怀疑的,<口>无神论的"
1604,skillful,"ful 表形容词, 有...的","adj.灵巧的,熟练的,制作精巧的"
1605,slaughter,er 表动词， 反复做,"n.屠宰,残杀,屠杀;v.屠宰,残杀,屠杀"
1606,slender,er 表动词， 反复做,"adj.苗条的,微薄的,微弱的"
1607,slippery,ery 表名词， 场所，地点,"adj.滑的,光滑的"
1608,slogan,an 表名词和形容词， ...地方，...人,"n.口号,标语"
1609,slot,ot 表名词， ...人,"n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹;vt.开槽于,跟踪"
1610,soar,ar 表形容词， ...的,"v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度"
1611,sober,er 表动词， 反复做,adj.冷静的;v.镇定
1612,social,ial 表形容词， 有...的,"adj.社会的,爱交际的,社交的,群居的"
1613,socialism,ism 表示 学术或学术流派,"n.社会主义,社会主义运动"
1614,socialist,ist 表名词， 表示信仰者，专家或从事人,"n.社会主义者,社会党党员"
1615,sociology,y 表名词，加在形容词或以r结尾的单词后。,n.社会学
1616,solar,ar 表形容词， ...的,"adj.太阳的,日光的"
1617,solicitor,itor 表名词， 人,"n.律师,法律顾问"
1618,solidarity,ity 表名词，指具备某种性质,n.团结
1619,solitary,ary 表名词， 人，场所，物,adj.孤独的
1620,solo,o 表名词，用于音乐术语,n.独奏曲;adj.单独的
1621,solution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.解答,解决办法,溶解,溶液,解决方案"
1622,spacious,acious 表形容词， 有特征的，多...的,"adj.广大的,大规模的"
1623,spade,"ade 表名词, 表示 状态，物品","n.铲,铁锹;v.铲"
1624,span,an 表名词和形容词， ...地方，...人,"n.跨度,跨距,范围;v.横越"
1625,specialist,ist 表名词， 表示信仰者，专家或从事人,"n.专门医师,专家"
1626,specialize,ize 构成一些动词,"vi.专攻,专门研究,使适应特殊目的,使专用于"
1627,specialty,ty 表名词，用在形容词后，把形容词变成名词,n.专业
1628,specific,fic 表形容词， 产生...的,"n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
1629,specifically,ly 表形容词，通常加在名词后。,"adv.特定的,明确的"
1630,specify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.指定,详细说明,列入清单"
1631,specimen,en 表动词， 变成,"n.范例,标本,样品,样本,待试验物"
1632,spectacular,"ular 表形容词, 有...形状或性质的","adj.引人入胜的,壮观的"
1633,spectator,or 表名词， 人或物器 ，在一些词根前写成 ator,n.观众(指比赛或表演)
1634,speculate,ate 表形容词， 具有...的,"vi.推测,思索,做投机买卖"
1635,spelling,ing 表形容词， 正...的 ， 令人...的,"n.拼法,拼写法"
1636,spice,ice 表名词， 行为，状态,"n.香料,调味品,趣味,意味,情趣"
1637,spider,er 表动词， 反复做,"n.蜘蛛,设圈套者,三脚架"
1638,spine,ine 表形容词， ...的,"n.脊骨,书脊,地面隆起地带,中心,剌"
1639,spiral,al 表名词， 人，物，状态,adj.螺旋形的;n.螺旋;v.盘旋
1640,spiritual,al 表形容词， ...的,adj.精神上的
1641,spite,ite 表形容词， 有...的,"n.(in～of)不顾,不管,敌意;v.困扰"
1642,splendid,id 表形容词， 如...的,"adj.壮丽的,辉煌的,极好的"
1643,spokesman,an 表名词和形容词， ...地方，...人,"n.发言人,代表者"
1644,sponsor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.发起人,主办者,保证人,主办人;vt.发起,主办;v.赞助"
1645,spot,ot 表名词， ...人,"n.班点,污点,地点,场所,现场;v.沾污,弄脏,侦察;vt.认出,发现"
1646,spray,y 表名词，加在形容词或以r结尾的单词后。,"n.喷雾,飞沫;vt.喷射,喷溅"
1647,spy,y 表名词，加在形容词或以r结尾的单词后。,"n.特工人员,间谍,侦探,探员,秘密侦察他人行动者;v.侦察,侦察,发现"
1648,stability,ability 表名词， 能...；性质,n.稳定性
1649,stabilize,ize 构成一些动词,v.稳定
1650,stagger,er 表动词， 反复做,"v.摇晃,蹒跚,交错,摇摇摆摆;adj.交错的"
1651,statement,ment 表名词， 行为或结果,"n.声明,陈述,综述"
1652,statesman,an 表名词和形容词， ...地方，...人,n.政治家
1653,static,ic 表名词， 某种药,"adj.静态的,静力的,静电噪声"
1654,stationary,ry 表示集合名词,固定的
1655,steady,y 表名词，加在形容词或以r结尾的单词后。,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的;v.(使)稳定,(使)稳固"
1656,steer,eer 表名词， ... 人员,"v.驾驶,掌舵"
1657,stereo,o 表名词，用于音乐术语,"n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的"
1658,stern,ern 表形容词， ...方向的,"adj.严厉的,苛刻的;n.船尾"
1659,sticky,y 表名词，加在形容词或以r结尾的单词后。,"adj.粘的,粘性的"
1660,stimulate,ate 表形容词， 具有...的,"vt.刺激,激励;v.刺激,激励"
1661,sting,ing 表形容词， 正...的 ， 令人...的,"n.刺,刺痛,针刺;v.刺,刺痛,刺激"
1662,stocking,ing 表形容词， 正...的 ， 令人...的,n.长袜
1663,storage,"age 名词后缀,表示 状态，总称","n.贮藏(量),贮藏库,存储"
1664,straightforward,ward 表形容词+副词， 向...,"adj.正直的,坦率的,简单的,易懂的,直接了当的;adv.坦率地"
1665,strain,ain 表名词， ...人,"n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力"
1666,strategic,"ic 表形容词, ....的 ，有时作tic","adj.战略的,战略上的"
1667,strategy,y 表名词，加在形容词或以r结尾的单词后。,"n.策略,军略"
1668,stray,y 表名词，加在形容词或以r结尾的单词后。,"v.迷路,偏离,漂泊,漂泊游荡;adj.迷路的,离群的,偶遇的"
1669,streamline,ine 表形容词， ...的,adj.流线型的
1670,strengthen,en 表动词， 变成,"v.加强,巩固"
1671,striking,ing 表形容词， 正...的 ， 令人...的,"adj.打击的,显著的,惊人的,罢工的"
1672,string,ing 表名词， 行业,"n.线,细绳,一串,一行;v.排成一列"
1673,strive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","v.努力,奋斗,力争,斗争"
1674,structure,ture ture在s结尾的词根后变成sure,"n.结构,构造,建筑物;vt.建筑,构成,组织"
1675,studio,o 表名词，用于音乐术语,"n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场"
1676,sturdy,y 表名词，加在形容词或以r结尾的单词后。,"adj.强健的,坚定的,毫不含糊的;n.[兽医]家畜晕倒病"
1677,subjective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.主观的,个人的"
1678,submit,it 表名词，通常是抽象名词,"v.(使)服从,(使)顺从;vt.提交,递交"
1679,subsequent,ent 表形容词， ...的,"adj.后来的,并发的"
1680,subsidiary,ry 表示集合名词,"adj.辅助的,补充的"
1681,subsidy,y 表名词，加在形容词或以r结尾的单词后。,"n.补助金,津贴"
1682,substantial,ial 表形容词， 有...的,"adj.坚固的,实质的,真实的,充实的"
1683,subway,y 表名词，加在形容词或以r结尾的单词后。,"n.地道,<美>地铁"
1684,successive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.继承的,连续的"
1685,successor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.继承者,接任者,后续的事物"
1686,suffer,er 表动词， 反复做,"vt.遭受,经历,忍受;vi.受痛苦,受损害"
1687,sufficient,ent 表形容词， ...的,"adj.充分的,足够的"
1688,suggestion,on 表名词，指人、物和一些物理学上的名词,"n.提议,意见,暗示,微量"
1689,suite,ite 表形容词， 有...的,"n.(一批)随员,(一套)家具,套房,套,组,组曲"
1690,summarize,ize 构成一些动词,"v.概述,总结,摘要而言"
1691,summary,ary 表名词， 人，场所，物,"n.摘要,概要"
1692,summit,it 表名词，通常是抽象名词,"n.顶点,最高阶层;adj.政府首脑的;vi.参加最高级会议的"
1693,summon,on 表名词，指人、物和一些物理学上的名词,"v.召集,召唤,号召,鼓起,振作"
1694,sunrise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,n.日出
1695,sunset,et 表示 小,"n.日落,晚年"
1696,superficial,ial 表形容词， 有...的,"adj.表面的,肤浅的,浅薄的"
1697,superintendent,ent 表形容词， ...的,"n.主管,负责人,指挥者,管理者"
1698,superior,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的"
1699,superiority,ty 表名词，用在形容词后，把形容词变成名词,"n.优越,高傲"
1700,supervise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"v.监督,管理,指导"
1701,supplement,ent 表形容词， ...的,"n.补遗,补充,附录,增刊;v.补充"
1702,supplementary,ry 表示集合名词,"n.(supplementaries)增补者,增补物;adj.附助的"
1703,supply,ly 表形容词，通常加在名词后。,"n.补给,供给,供应品;vt.补给,供给,提供,补充,代理;vi.替代他人职务"
1704,suppose,ose 表形容词， 多...的,"vt.推想,假设,猜想;vi.料想;conj.假使...结果会怎样"
1705,suppress,ess 表名词， 女性，雌性,"vt.镇压,抑制,查禁,使止住"
1706,surgeon,on 表名词，指人、物和一些物理学上的名词,n.外科医生
1707,surgery,ry 表示集合名词,"n.外科,外科学,手术室,诊疗室"
1708,surrender,er 表动词， 反复做,"vt.交出,放弃,使投降,听任;vi.投降,自首;n.交出,放弃,投降;投降算了"
1709,surrounding,ing 表形容词， 正...的 ， 令人...的,"n.围绕物,环境;adj.周围的"
1710,survey,y 表名词，加在形容词或以r结尾的单词后。,"n.测量,调查,俯瞰,概观,纵览,视察;vt.调查(收入,民意等)测量,勘定,审视,视察,俯瞰,通盘考虑;vi.测量土地"
1711,survive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","v.幸免于,幸存,生还"
1712,suspension,ion 表名词， 动作或状态 分为 sion和tion两种,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
1713,suspicion,ion 表示 某种物，用品,"n.猜疑,怀疑"
1714,suspicious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.(～of)可疑的,怀疑的"
1715,sustain,ain 表名词， ...人,"vt.支撑,撑住,维持,持续"
1716,sway,y 表名词，加在形容词或以r结尾的单词后。,"v.摇摆,摇动"
1717,swing,ing 表形容词， 正...的 ， 令人...的,"v.摇摆,摆动,回转,旋转;n.秋千,摇摆,摆动"
1718,symmetry,ry 表示集合名词,"n.对称,匀称"
1719,sympathize,ize 构成一些动词,"vi.同情,共鸣,同感,同意,吊唁"
1720,sympathy,y 表名词，加在形容词或以r结尾的单词后。,"n.同情,同情心"
1721,symphony,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"n.交响乐,交响曲"
1722,synthetic,etic 表形容词， 属于...的,"adj.合成的,人造的,综合的"
1723,talent,ent 表形容词， ...的,"n.天才,才干,才能"
1724,tan,an 表名词和形容词， ...地方，...人,"n.日晒后的颜色,棕褐色,茶色;adj.棕褐色的,茶色;v.晒黑,晒成褐色"
1725,tanker,er 表动词， 反复做,n.油轮
1726,target,et 表示 小,"n.目标,对象,靶子"
1727,technician,ian 表名词， 某种人,"n.技术员,技师"
1728,technology,y 表名词，加在形容词或以r结尾的单词后。,"n.工艺,科技,技术"
1729,teenager,er 表动词， 反复做,n.十几岁的青少年
1730,telecommunication,ation 表名词， 行为，过程，结果,"n.电讯,长途通讯,无线电通讯,电信学"
1731,temper,er 表动词， 反复做,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向;v.(冶金)回火、锻炼,调和,调节"
1732,tempo,o 表名词，用于音乐术语,"n.(音乐)速度、拍子,发展速度"
1733,temporary,y 表名词，加在形容词或以r结尾的单词后。,"adj.暂时的,临时的,临时性"
1734,temptation,ation 表名词， 行为，过程，结果,"n.诱惑,诱惑物"
1735,tenant,ant 表形容词， ...的,"n.承租人,房客,租客;v.出租"
1736,tendency,ency 表名词，ence 的变体,"n.趋向,倾向"
1737,tender,er 表动词， 反复做,"adj.嫩的,温柔的,软弱的"
1738,tension,ion 表名词， 动作或状态 分为 sion和tion两种,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压;vt.拉紧,使紧张"
1739,tentative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.试验,假设;adj.试验性的,试探的,尝试的,暂定的"
