,单词,前缀,单词释义
998,survive,sur 辅音不重复表示 超过，在上面,"v.幸免于,幸存,生还"
999,susceptible,sus 表示 在... 下面,"adj.易受影响的,易感动的,容许...的;n.(因缺乏免疫力而)易得病的人"
1000,suspend,sus 表示 在... 下面,"vt.吊,悬挂;v.延缓"
1001,suspicion,sus 表示 在... 下面,"n.猜疑,怀疑"
1002,sustain,sus 表示 在... 下面,"vt.支撑,撑住,维持,持续"
1003,symbol,sym 表示 共同，相同,"n.符号,记号,象征"
1004,sympathetic,sym 表示 共同，相同,"adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人"
1005,sympathy,sym 表示 共同，相同,"n.同情,同情心"
1006,symposium,sym 表示 共同，相同,"n.讨论会,座谈会"
1007,syndrome,syn 表示 共同，相同,n.综合病症
1008,synthetic,syn 表示 共同，相同,"adj.合成的,人造的,综合的"
1009,transaction,trans 表示 横过，越过,"n.办理,处理,会报,学报,交易,事务,处理事务"
1010,transcend,trans 表示 变换，改变'；转移,"vt.超越,胜过"
1011,transform,trans 表示 横过，越过,"vt.转换,改变,改造,使...变形;vi.改变,转化,变换;n.[数]变换(式),[语]转换"
1012,transient,trans 表示 变换，改变'；转移,"adj.短暂的,瞬时的;n.瞬时现象"
1013,transit,trans 表示 横过，越过,"n.经过,通行,搬运,运输,运输线,转变;vt.横越,通过,经过;vi.通过;n.[天]中天,经纬仪"
1014,transition,trans 表示 变换，改变'；转移,"n.转变,转换,跃迁,过渡,变调"
1015,transmission,trans 表示 横过，越过,"n.播送,发射,传动,传送,传输,转播"
1016,transmit,trans 表示 变换，改变'；转移,"vt.传输,转送,传达,传导,发射,遗传,传播;vi.发射信号,发报"
1017,transplant,trans 表示 横过，越过,"v.移植,移种,移民,迁移;n.移植,被移植物,移居者"
1018,transport,trans 表示 变换，改变'；转移,"n.传送器,运输,运输机,激动,流放犯,狂喜;vt.传送,运输,流放,放逐"
1019,trial,tri 表示 三,"n.试验,考验,审讯,审判"
1020,tribe,tri 表示 三,"n.部落,部族"
1021,trifle,tri 表示 三,"n.琐事,少量,蛋糕,小事;v.开玩笑,玩弄,闭混,浪费,嘲弄"
1022,trim,tri 表示 三,"adj.整齐的,整洁的;vt.整理,修整,装饰"
1023,triumph,tri 表示 三,"n.胜利,成功;v.获得胜利"
1024,twist,twi 表示 二、两,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状;vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织;vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
1025,ultraviolet,ultra 表示 极端,"adj.紫外线的,紫外的;n.紫外线辐射"
1026,unanimous,un 表示 不，无，非，没有,"adj.意见一致的,无异议的"
1027,uncover,un 表示 打开，解开，弄出,"vt.揭开,揭露;v.揭示"
1028,undergo,under 表示 在...下，在...之内,"vt.经历,遭受,忍受"
1029,undergraduate,under 表示 不足，不够,"n.大学肄业生,(尚未取得学位的)大学生;adj.大学生的"
1030,underground,under 表示 副手 ,"adj.地下的,地面下的,秘密的;n.[英]地铁;adv.在地下,秘密地"
1031,underline,un 表示 不，无，非，没有,"vt.在...下面划线,作...的衬里,加下划线,强调;n.下划线"
1032,underlying,un 表示 打开，解开，弄出,"adj.在下面的,根本的,潜在的,[商]优先的"
1033,underneath,under 表示 在...下，在...之内,adv.在下面;prep.在...的下面
1034,understanding,under 表示 不足，不够,"n.谅解,理解"
1035,undertake,under 表示 副手 ,"vt.承担,担任,许诺,保证;v.采取"
1036,undo,un 表示 不，无，非，没有,"vt.解开,松开;v.取消,撤消"
1037,undoubtedly,un 表示 打开，解开，弄出,"adv.无庸置疑地,的确地"
1038,unemployment,un 表示 不，无，非，没有,"n.失业,失业人数"
1039,unexpected,un 表示 打开，解开，弄出,"adj.想不到的,意外的,未预料到"
1040,unfortunately,un 表示 不，无，非，没有,adv.不幸地
1041,unify,un 表示 打开，解开，弄出,"vt.统一,使成一体"
1042,unique,uni 表示 一个、单一,"adj.唯一的,独特的"
1043,unite,un 表示 不，无，非，没有,"v.联合,团结"
1044,unity,un 表示 打开，解开，弄出,"n.团结,联合,统一,一致"
1045,universe,uni 表示 一个、单一,"n.宇宙,世界,万物,领域"
1046,unless,un 表示 不，无，非，没有,"conj.如果不,除非"
1047,unlike,un 表示 打开，解开，弄出,"adj.不同的,不相似的;prep.不象...,和...不同"
1048,unusual,un 表示 不，无，非，没有,"adj.不平常的,与众不同的,不寻常的"
1049,vice,vice 表示 副,"n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷;vt.钳住;prep.代替"
1050,withdraw,with 表示 向后，相反,"vt.收回,撤消;vi.缩回,退出;v.撤退"
1051,withstand,with 表示 向后，相反,"vt.抵挡,经受住"
